date,active_energy,active_energy_goal,exercise_minutes,exercise_goal,stand_hours,stand_goal
2025-03-16,723.272,660,37,30,9,12
2025-03-17,736.822,660,26,30,17,12
2025-03-18,200.295,660,4,30,8,12
2025-03-19,342.68,660,9,30,12,12
2025-03-20,23.425,660,0,0,0,0
2025-03-21,0,660,0,0,0,0
2025-03-22,477.99,660,0,0,0,0
2025-03-23,12.183,660,0,0,0,0
2025-03-24,3.693,660,0,0,0,0
2025-03-25,26.383,660,0,0,0,0
2025-03-26,6.036,660,0,0,0,0
2025-03-27,366.205,660,16,30,10,12
2025-03-28,220.978,660,2,30,7,12
2025-03-29,40.243,660,0,30,2,12
2025-03-30,0,660,0,30,0,12
2025-03-31,972.373,660,96,30,8,12
2025-04-01,1254.2,660,155,30,11,12
2025-04-02,1182.79,660,166,30,12,12
2025-04-03,26.295,660,2,30,1,12
2025-04-04,351.311,660,1,30,9,12
2025-04-05,1090.06,660,104,30,9,12
2025-04-06,301.27,660,5,30,11,12
2025-04-07,322.112,660,3,30,12,12
2025-04-08,1167.04,660,110,30,12,12
2025-04-09,769.564,660,65,30,13,12
2025-04-10,1194.84,660,115,30,14,12
2025-04-11,491.368,660,19,30,7,12
2025-04-12,956.785,660,103,30,7,12
2025-04-13,357.911,660,13,30,8,12
2025-04-14,209.961,660,7,30,7,12
2025-04-15,1126.24,660,130,30,17,12
2025-04-16,358.287,660,12,30,14,12
2025-04-17,1105.04,660,111,30,12,12
2025-04-18,263.754,660,12,30,8,12
2025-04-19,692.158,660,42,30,12,12
2025-04-20,212.996,660,2,30,8,12
2025-04-21,619.26,660,51,30,14,12
2025-04-22,789.623,660,38,30,13,12
2025-04-23,887.502,660,60,30,16,12
2025-04-24,1474.88,660,150,30,13,12
2025-04-25,1015.95,660,98,30,12,12
2025-04-26,930.388,660,72,30,7,12
2025-04-27,962.629,660,72,30,8,12
2025-04-28,313.194,660,8,30,12,12
2025-04-29,284.321,660,0,30,6,12
2025-04-30,619.118,660,57,30,15,12
2025-05-01,1515.57,660,146,30,15,12
2025-05-02,1250.88,660,140,30,12,12
2025-05-03,719.768,660,40,30,13,12
2025-05-04,908.87,660,87,30,7,12
2025-05-05,1391.11,660,150,30,14,12
2025-05-06,1061.59,660,130,30,13,12
2025-05-07,273.485,660,7,30,10,12
2025-05-08,696.017,660,56,30,12,12
2025-05-09,347.083,660,17,30,9,12
2025-05-10,1048.55,660,97,30,13,12
2025-05-11,373.074,660,14,30,13,12
2025-05-12,356.028,660,14,30,16,12
2025-05-13,875.544,660,91,30,13,12
2025-05-14,785.289,660,102,30,12,12
2025-05-15,58.8034,660,0,30,3,12
2025-05-16,12.334,660,2,30,1,12
2025-05-17,7.319,660,0,30,0,12
2025-05-18,998.758,660,116,30,12,12
2025-05-19,466.243,660,55,30,10,12
2025-05-20,692.507,660,80,30,11,12
2025-05-21,17.44,660,0,30,1,12
2025-05-22,76.5561,660,0,30,4,12
2025-05-23,593.276,660,73,30,11,12
2025-05-24,123.173,660,0,30,4,12
2025-05-25,0,660,0,30,0,12
2025-05-26,652.559,660,76,30,11,12
2025-05-27,129.082,660,1,30,5,12
2025-05-28,702.486,660,78,30,15,12
2025-05-29,11.977,660,0,30,0,12
2025-05-30,238.603,660,3,30,5,12
2025-05-31,162.479,660,2,30,6,12
2025-06-01,0,660,0,30,0,12
2025-06-02,345.39,660,55,30,3,12
2025-06-03,47.327,660,0,30,1,12
2025-06-04,381.192,660,25,30,12,12
2025-06-05,214.151,660,5,30,9,12
2025-06-06,10.601,660,0,30,0,12
2025-06-08,0,660,0,30,0,12
2025-06-09,295.979,660,5,30,9,12
2025-06-10,56.45,660,1,30,4,12
2025-06-11,798.324,660,78,30,9,12
2025-06-12,808.055,660,87,30,10,12
2025-06-13,79.957,660,0,30,4,12
2025-06-15,0.06,660,0,30,0,12
2025-06-16,345.243,660,7,30,14,12
2025-06-17,551.637,660,88,30,7,12
2025-06-18,791.117,660,87,30,15,12
2025-06-19,687.264,660,85,30,8,12
2025-06-20,288.745,660,17,30,8,12
2025-06-26,0,660,0,30,0,12
2025-06-27,317.844,660,9,30,13,12
2025-06-28,787.513,660,109,30,9,12
2025-06-29,608.34,660,86,30,6,12
2025-06-30,195.434,660,4,30,8,12
2025-07-01,579.628,660,86,30,11,12
2025-07-02,73.3868,660,3,30,2,12
2025-07-03,497.596,660,36,30,12,12
2025-07-04,873.634,660,150,30,9,12
2025-07-05,1105.21,660,147,30,11,12
2025-07-06,952.971,660,155,30,15,12
2025-07-07,728.025,660,109,30,13,12
2025-07-08,827.815,660,154,30,16,12
2025-07-09,620.138,660,96,30,11,12
2025-07-10,747.035,660,100,30,11,12
2025-07-11,135.077,660,19,30,5,12
2025-07-13,0,660,0,30,0,12
2025-07-14,600.61,660,105,30,7,12
2025-07-15,784.402,660,76,30,14,12
2025-07-16,740.661,660,117,30,10,12
2025-07-17,767.134,660,110,30,14,12
2025-07-18,680.574,660,103,30,12,12
2025-07-19,377.972,660,55,30,9,12
2025-07-20,556.725,660,80,30,13,12
2025-07-21,960.959,660,181,30,12,12
2025-07-22,839.788,660,126,30,17,12
2025-07-23,862.603,660,134,30,14,12
2025-07-24,693.025,660,112,30,16,12
2025-07-25,706.548,660,93,30,13,12
2025-07-26,942.884,660,96,30,13,12
2025-07-27,9.62474,660,0,30,1,12
2025-07-29,0,660,0,30,0,12
2025-07-30,3.747,660,0,30,1,12
2025-07-31,1014.57,660,152,30,15,12
2025-08-01,12.8595,660,0,30,0,12
2025-08-02,0,660,0,30,0,12
2025-08-03,0.058,660,0,30,0,12
2025-08-04,236.464,660,9,30,10,12
2025-08-05,898.067,660,107,30,11,12
2025-08-06,608.973,660,68,30,12,12
2025-08-07,857.974,660,97,30,12,12
2025-08-08,628.375,660,71,30,14,12
2025-08-09,304.363,660,55,30,5,12
2025-08-10,116.506,660,5,30,6,12
2025-08-11,96.0903,660,5,30,6,12
2025-08-12,967.94,660,135,30,15,12
2025-08-13,608.694,660,73,30,13,12
2025-08-14,324.854,660,15,30,12,12
2025-08-15,70.097,660,2,30,5,12
2025-08-16,105.156,660,5,30,3,12
2025-08-17,0,660,0,30,0,12
2025-08-18,653.503,660,84,30,13,12
2025-08-19,186.259,660,6,30,6,12
2025-08-20,135.166,660,2,30,6,12
2025-08-21,580.998,660,70,30,10,12
2025-08-22,648.086,660,59,30,11,12
2025-08-23,786.325,660,117,30,11,12
2025-08-24,6.875,660,0,30,0,12
2025-08-25,0,660,0,30,0,12
2025-08-26,520.784,660,64,30,12,12
2025-08-27,20.6021,660,4,30,0,12
2025-08-28,297.768,660,13,30,14,12
2025-08-29,40.2736,660,1,30,1,12
2025-09-01,0,660,0,30,0,12
2025-09-02,704.913,660,124,30,8,12
2025-09-03,436.57,660,61,30,11,12
2025-09-04,485.729,660,56,30,11,12
2025-09-05,958.739,660,147,30,13,12
2025-09-06,764.407,660,104,30,12,12
2025-09-07,241.188,660,5,30,11,12
2025-09-08,650.079,660,115,30,13,12
2025-09-09,967.114,660,130,30,13,12
2025-09-10,772.797,660,97,30,12,12
2025-09-11,703.447,660,95,30,12,12
2025-09-12,11.3927,660,0,30,1,12
2025-09-13,803.536,660,96,30,10,12
2025-09-15,0,660,0,30,0,12
2025-09-16,778.727,660,108,30,14,12
2025-09-17,853.921,660,134,30,12,12
2025-09-18,988.722,660,114,30,12,12
2025-09-19,171.062,660,6,30,8,12
2025-09-20,0,660,0,30,0,12
2025-09-21,8.57563,660,0,30,0,12
2025-09-22,599.982,660,101,30,11,12
2025-09-23,1015.5,660,125,30,13,12
2025-09-24,641.556,660,91,30,12,12
2025-09-25,969.938,660,142,30,11,12
2025-09-26,252.507,660,12,30,8,12
2025-09-27,690.424,660,62,30,5,12
2025-09-28,6.69275,660,0,30,1,12
2025-09-29,849.304,660,99,30,16,12
2025-09-30,785.937,660,98,30,11,12
2025-10-01,922.005,660,118,30,11,12
2025-10-02,929.326,660,116,30,13,12
2025-10-03,1189.49,660,153,30,12,12
2025-10-04,911.092,660,68,30,11,12
2025-10-05,4.77454,660,0,30,0,12
2025-10-06,592.781,660,59,30,11,12
2025-10-07,686.634,660,60,30,4,12
2025-10-08,2.315,660,0,30,0,12
2025-10-09,443.951,660,65,30,5,12
2025-10-10,135.98,660,8,30,5,12
2025-10-11,129.726,660,5,30,7,12
2025-10-12,92.179,660,0,30,5,12
2025-10-13,895.6,660,123,30,12,12
2025-10-14,749.588,660,113,30,11,12
2025-10-15,451.043,660,53,30,7,12
2025-10-16,7.497,660,0,30,0,12
2025-10-17,683.132,660,89,30,13,12
2025-10-18,31.2495,660,0,30,1,12
2025-10-19,78.99,660,2,30,3,12
2025-10-20,3.73911,660,0,30,0,12
2025-10-21,613.603,660,77,30,15,12
2025-10-22,447.945,660,75,30,12,12
2025-10-23,728.564,660,88,30,16,12
2025-10-24,237.209,660,8,30,10,12
2025-10-25,872.882,660,95,30,12,12
2025-10-26,213.072,660,8,30,7,12
2025-10-27,228.502,660,10,30,7,12
2025-10-28,679.543,660,80,30,15,12
2025-10-29,586.615,660,77,30,12,12
2025-10-30,627.494,660,99,30,11,12
2025-10-31,10.664,660,0,30,1,12
2025-11-01,8.851,660,0,30,1,12
2025-11-02,649.199,660,91,30,14,12
2025-11-03,608.133,660,53,30,14,12
2025-11-04,531.769,660,94,30,11,12
2025-11-05,1004.08,660,153,30,9,12
2025-11-06,758.225,660,110,30,11,12
2025-11-07,665.314,660,70,30,14,12
2025-11-08,799.634,660,64,30,8,12
2025-11-09,121.658,660,2,30,4,12
2025-11-10,286.739,660,13,30,11,12
2025-11-11,21.606,660,1,30,3,12
2025-11-12,430.031,660,39,30,9,12
2025-11-13,985.7,660,122,30,12,12
2025-11-14,527.225,660,62,30,9,12
2025-11-15,49.4345,660,2,30,1,12
2025-11-16,351.114,660,17,30,13,12
2025-11-17,648.654,660,98,30,14,12
2025-11-18,690.028,660,88,30,13,12
2025-11-19,663.697,660,67,30,11,12
2025-11-20,590.657,660,70,30,13,12
2025-11-21,533.293,660,93,30,10,12
2025-11-22,80.8465,660,0,30,4,12
2025-11-23,154.357,660,3,30,8,12
2025-11-24,427.856,660,29,30,13,12
2025-11-25,458.192,660,74,30,12,12
2025-11-26,663.012,660,71,30,11,12
2025-11-27,172.863,660,2,30,7,12
2025-11-28,612.05,660,101,30,13,12
2025-11-29,681.342,660,96,30,12,12
2025-11-30,341.427,660,12,30,12,12
2025-12-01,420.582,660,23,30,13,12
2025-12-02,362.695,660,29,30,13,12
2025-12-03,362.384,660,34,30,14,12
2025-12-04,250.713,660,20,30,11,12
2025-12-06,0,660,0,30,0,12
2025-12-07,311.864,660,18,30,12,12
2025-12-08,91.462,660,5,30,3,12
2025-12-09,352.69,660,35,30,10,12
2025-12-10,15.284,660,0,30,0,12
2025-12-11,553.859,660,93,30,13,12
2025-12-12,586.336,660,41,30,11,12
2025-12-13,739.097,660,135,30,11,12
2025-12-14,1276.56,660,179,30,13,12
2025-12-15,571.645,660,89,30,9,12
2025-12-16,889.624,660,183,30,9,12
2025-12-17,578.409,660,58,30,10,12
2025-12-18,263.587,660,6,30,12,12
2025-12-19,598.038,660,65,30,7,12
2025-12-20,160.319,660,9,30,7,12
2025-12-21,107.45,660,5,30,6,12
2025-12-22,223.479,660,5,30,11,12
2025-12-23,378.508,660,41,30,13,12
2025-12-24,552.823,660,62,30,8,12
2025-12-25,13.65,660,0,30,1,12
2025-12-26,0,660,0,30,0,12
2025-12-27,22.295,660,0,30,2,12
2025-12-28,263.544,660,4,30,12,12
2025-12-29,797.719,660,91,30,15,12
2025-12-30,60.3705,660,2,30,4,12
2025-12-31,0,660,0,30,0,12
2026-01-01,134.668,660,2,30,8,12
2026-01-02,841.684,660,91,30,10,12
2026-01-03,22.0308,660,0,30,2,12
2026-01-04,580.315,660,49,30,11,12
2026-01-05,696.516,660,66,30,11,12
2026-01-06,670.594,660,68,30,10,12
2026-01-07,491.343,660,55,30,11,12
2026-01-08,769.042,660,84,30,10,12
2026-01-09,290.847,660,13,30,13,12
2026-01-10,210.157,660,4,30,10,12
2026-01-11,249.992,660,7,30,13,12
2026-01-12,140.976,660,5,30,9,12
2026-01-13,252.056,660,3,30,10,12
2026-01-14,552.778,660,55,30,9,12
2026-01-15,172.742,660,3,30,7,12
2026-01-16,1606.62,660,195,30,19,12
2026-01-17,26.6811,660,1,30,2,12
2026-01-18,508.702,660,54,30,11,12
2026-01-19,639.97,660,68,30,12,12
2026-01-20,537.016,660,67,30,9,12
2026-01-21,195.65,660,3,30,11,12
2026-01-22,635.248,660,61,30,14,12
2026-01-23,703.444,660,95,30,10,12
2026-01-24,321.018,660,10,30,13,12
2026-01-25,238.041,660,3,30,8,12
2026-01-26,348.752,660,20,30,11,12
2026-01-27,512.63,660,75,30,8,12
2026-01-28,219.77,660,2,30,8,12
2026-01-29,554.731,660,59,30,9,12
2026-01-30,271.716,660,5,30,8,12
2026-01-31,15.0018,660,0,30,2,12
2026-02-01,252.335,660,4,30,10,12
2026-02-02,19.4228,660,0,30,1,12
2026-02-03,261.134,660,9,30,10,12
2026-02-04,197.342,660,3,30,7,12
2026-02-05,194.597,660,5,30,8,12
2026-02-06,14.548,660,0,30,1,12
